iter	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.279823	0.10982	0.0987957	9.400762e+00	-6.545449e+02	-6.451442e+02
2	0.237706	0.0387851	0.442985	0.10982	0.0987957	9.020892e+00	-1.030929e+02	-9.407200e+01
4	0.219698	0.0387851	0.442985	0.10982	0.101282	9.111956e+00	-8.930864e+01	-8.019669e+01
6	0.219698	0.0387851	0.442985	0.10987	0.108167	9.111956e+00	-8.434041e+01	-7.522846e+01
8	0.219698	0.0387851	0.442985	0.10987	0.109956	9.111956e+00	-8.324279e+01	-7.413083e+01
10	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
12	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
14	0.219698	0.0387851	0.484393	0.10987	0.109956	9.111956e+00	-7.739006e+01	-6.827811e+01
16	0.219698	0.0387851	0.484393	0.10987	0.109691	9.111956e+00	-7.750670e+01	-6.839474e+01
18	0.219698	0.0387851	0.484393	0.10987	0.10965	9.111956e+00	-7.752492e+01	-6.841296e+01
20	0.219698	0.0387851	0.484393	0.10987	0.10965	9.111956e+00	-7.752492e+01	-6.841296e+01
22	0.219698	0.0387851	0.484393	0.108727	0.108938	9.111956e+00	-7.963878e+01	-7.052682e+01
24	0.219698	0.0387851	0.484393	0.107789	0.108762	9.111956e+00	-8.123861e+01	-7.212665e+01
26	0.219698	0.0387851	0.484393	0.107789	0.109912	9.111956e+00	-8.072238e+01	-7.161042e+01
28	0.219698	0.0387851	0.484393	0.107789	0.109977	9.111956e+00	-8.069387e+01	-7.158192e+01
30	0.219698	0.0387851	0.484393	0.10833	0.109421	9.111956e+00	-8.005932e+01	-7.094737e+01
32	0.219698	0.0387851	0.484393	0.109398	0.10806	9.111956e+00	-7.898347e+01	-6.987151e+01
34	0.219698	0.0387851	0.484393	0.109477	0.10806	9.111956e+00	-7.885971e+01	-6.974775e+01
36	0.219698	0.0387851	0.484393	0.109377	0.108898	9.111956e+00	-7.862967e+01	-6.951772e+01
38	0.219698	0.0387851	0.484393	0.109377	0.10851	9.111956e+00	-7.880731e+01	-6.969535e+01
40	0.219698	0.0387851	0.484393	0.109377	0.108279	9.111956e+00	-7.891467e+01	-6.980271e+01
42	0.149779	0.0426928	0.588621	0.108481	0.107927	9.445815e+00	-5.254196e-01	8.920396e+00
44	0.149779	0.0426928	0.588621	0.108322	0.107915	9.445815e+00	-6.160244e-01	8.829791e+00
46	0.149779	0.0426928	0.588621	0.107898	0.107903	9.445815e+00	-8.591345e-01	8.586681e+00
48	0.149779	0.0426928	0.588621	0.106474	0.107903	9.445815e+00	-1.699819e+00	7.745997e+00
50	0.149779	0.0426928	0.591046	0.108239	0.107329	9.445815e+00	-1.087395e+00	8.358420e+00
52	0.149779	0.0426928	0.591046	0.108876	0.103848	9.445815e+00	-8.962230e-01	8.549592e+00
54	0.149779	0.045908	0.591046	0.107815	0.10519	9.374872e+00	1.004595e+00	1.037947e+01
56	0.149779	0.045908	0.591046	0.109352	0.109471	9.374872e+00	2.252771e+00	1.162764e+01
58	0.149779	0.045908	0.603083	0.108436	0.107157	9.374872e+00	4.081784e+00	1.345666e+01
60	0.144637	0.045908	0.603083	0.109087	0.108952	9.412349e+00	9.862311e+00	1.927466e+01
62	0.144637	0.045908	0.632626	0.109087	0.10923	9.412349e+00	1.168435e+01	2.109670e+01
64	0.144637	0.045908	0.623086	0.102818	0.105876	9.412349e+00	9.595932e+00	1.900828e+01
66	0.144637	0.045908	0.623086	0.102904	0.105563	9.412349e+00	9.598951e+00	1.901130e+01
68	0.123361	0.0448804	0.623086	0.106554	0.103705	9.602376e+00	2.077329e+01	3.037567e+01
70	0.123361	0.0448804	0.632773	0.109827	0.107606	9.602376e+00	2.207599e+01	3.167837e+01
72	0.123361	0.0450241	0.632773	0.109827	0.108096	9.599243e+00	2.305260e+01	3.265185e+01
74	0.123361	0.0450241	0.629928	0.107662	0.103883	9.599243e+00	2.256924e+01	3.216848e+01
76	0.123361	0.0450241	0.642189	0.104286	0.107939	9.599243e+00	2.175480e+01	3.135404e+01
78	0.123361	0.0450241	0.642189	0.102384	0.105167	9.599243e+00	2.135245e+01	3.095170e+01
80	0.123361	0.0450241	0.642189	0.104066	0.107623	9.599243e+00	2.171113e+01	3.131038e+01
82	0.123361	0.0450241	0.642189	0.102241	0.10734	9.599243e+00	2.122083e+01	3.082007e+01
84	0.123361	0.0462086	0.623196	0.106033	0.10515	9.573724e+00	2.409652e+01	3.367025e+01
86	0.123361	0.0462086	0.623196	0.106327	0.0990638	9.573724e+00	2.387176e+01	3.344549e+01
88	0.123859	0.0462086	0.623196	0.106249	0.0958637	9.569532e+00	2.364060e+01	3.321013e+01
90	0.123859	0.0462086	0.623196	0.108058	0.101947	9.569532e+00	2.424982e+01	3.381935e+01
92	0.123859	0.0462086	0.624428	0.108058	0.102397	9.569532e+00	2.461091e+01	3.418044e+01
94	0.123859	0.0462086	0.624428	0.106889	0.107088	9.569532e+00	2.457763e+01	3.414716e+01
96	0.123859	0.0462086	0.624428	0.104686	0.106147	9.569532e+00	2.424492e+01	3.381445e+01
98	0.123859	0.0464271	0.643481	0.107729	0.10735	9.564883e+00	2.805751e+01	3.762239e+01
100	0.116161	0.0464271	0.661781	0.104905	0.0981568	9.631256e+00	3.041594e+01	4.004719e+01
102	0.116161	0.0464271	0.661781	0.109372	0.0925724	9.631256e+00	3.083842e+01	4.046968e+01
104	0.116161	0.0464271	0.683152	0.103189	0.0917682	9.631256e+00	2.969921e+01	3.933046e+01
106	0.116161	0.0464271	0.666465	0.108552	0.0976933	9.631256e+00	3.095902e+01	4.059028e+01
